Ano,Mês,Dia
2016,1,364
2016,1,489
2016,1,522
2016,1,514
2016,1,409
2016,1,462
2016,1,575
2016,1,525
2016,1,545
2016,1,434
2016,1,424
2016,1,499
2016,1,501
2016,1,525
2016,1,452
2016,1,484
2016,1,514
2016,1,514
2016,1,535
2016,1,412
2016,2,404
2016,2,504
2016,2,427
2016,2,462
2016,2,285
2016,2,0
2016,2,0
2016,2,0
2016,2,132
2016,2,153
2016,2,189
2016,2,266
2016,2,250
2016,2,216
2016,2,205
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,585
2016,3,733
2016,3,716
2016,3,727
2016,3,620
2016,3,654
2016,3,752
2016,3,668
2016,3,0
2016,3,0
2016,3,630
2016,3,803
2016,3,801
2016,3,750
2016,4,710
2016,4,647
2016,4,783
2016,4,757
2016,4,725
2016,4,683
2016,4,646
2016,4,780
2016,4,753
2016,4,756
2016,4,675
2016,4,642
2016,4,791
2016,4,741
2016,4,0
2016,4,247
2016,4,666
2016,4,738
2016,4,694
2016,4,700
2016,4,643
2016,5,646
2016,5,689
2016,5,735
2016,5,709
2016,5,627
2016,5,621
2016,5,722
2016,5,719
2016,5,715
2016,5,670
2016,5,634
2016,5,721
2016,5,741
2016,5,745
2016,5,661
2016,5,635
2016,5,705
2016,5,690
2016,5,0
2016,5,229
2016,5,599
2016,5,763
2016,6,743
2016,6,723
2016,6,600
2016,6,618
2016,6,742
2016,6,737
2016,6,678
2016,6,608
2016,6,652
2016,6,733
2016,6,712
2016,6,692
2016,6,602
2016,6,630
2016,6,712
2016,6,713
2016,6,761
2016,6,609
2016,6,642
2016,6,706
2016,6,700
2016,6,670
2016,7,585
2016,7,561
2016,7,0
2016,7,683
2016,7,690
2016,7,547
2016,7,524
2016,7,576
2016,7,598
2016,7,500
2016,7,317
2016,7,267
2016,7,302
2016,7,282
2016,7,197
2016,7,151
2016,7,131
2016,7,161
2016,7,159
2016,7,143
2016,7,143
2016,8,158
2016,8,152
2016,8,169
2016,8,171
2016,8,152
2016,8,161
2016,8,178
2016,8,173
2016,8,172
2016,8,153
2016,8,267
2016,8,700
2016,8,688
2016,8,687
2016,8,540
2016,8,726
2016,8,791
2016,8,773
2016,8,804
2016,8,587
2016,8,733
2016,8,802
2016,8,791
2016,9,771
2016,9,553
2016,9,669
2016,9,729
2016,9,0
2016,9,669
2016,9,504
2016,9,649
2016,9,776
2016,9,748
2016,9,741
2016,9,620
2016,9,673
2016,9,766
2016,9,749
2016,9,691
2016,9,576
2016,9,650
2016,9,731
2016,9,691
2016,9,573
2016,9,453
2016,10,438
2016,10,667
2016,10,689
2016,10,692
2016,10,575
2016,10,657
2016,10,719
2016,10,0
2016,10,672
2016,10,579
2016,10,650
2016,10,743
2016,10,742
2016,10,727
2016,10,566
2016,10,521
2016,10,642
2016,10,628
2016,10,606
2016,10,0
2016,10,639
2016,11,704
2016,11,0
2016,11,409
2016,11,357
2016,11,618
2016,11,696
2016,11,710
2016,11,669
2016,11,529
2016,11,497
2016,11,0
2016,11,654
2016,11,666
2016,11,523
2016,11,632
2016,11,679
2016,11,690
2016,11,641
2016,11,485
2016,11,558
2016,11,617
2016,11,591
2016,12,579
2016,12,523
2016,12,613
2016,12,626
2016,12,614
2016,12,0
2016,12,408
2016,12,558
2016,12,532
2016,12,550
2016,12,537
2016,12,370
2016,12,251
2016,12,263
2016,12,180
2016,12,175
2016,12,0
2016,12,0
2016,12,0
2016,12,0
2016,12,0
2016,12,0
2017,1,0
2017,1,99
2017,1,167
2017,1,176
2017,1,149
2017,1,148
2017,1,159
2017,1,181
2017,1,184
2017,1,129
2017,1,152
2017,1,177
2017,1,199
2017,1,225
2017,1,181
2017,1,186
2017,1,216
2017,1,235
2017,1,214
2017,1,181
2017,1,184
2017,1,211
2017,2,239
2017,2,215
2017,2,191
2017,2,181
2017,2,196
2017,2,205
2017,2,266
2017,2,180
2017,2,152
2017,2,177
2017,2,185
2017,2,158
2017,2,193
2017,2,135
2017,2,165
2017,2,175
2017,2,169
2017,2,121
2017,2,0
2017,2,0
2017,3,0
2017,3,100
2017,3,117
2017,3,176
2017,3,202
2017,3,231
2017,3,259
2017,3,233
2017,3,805
2017,3,837
2017,3,838
2017,3,857
2017,3,731
2017,3,787
2017,3,859
2017,3,835
2017,3,872
2017,3,699
2017,3,750
2017,3,886
2017,3,863
2017,3,852
2017,3,725
2017,4,637
2017,4,838
2017,4,821
2017,4,867
2017,4,732
2017,4,754
2017,4,790
2017,4,658
2017,4,0
2017,4,0
2017,4,580
2017,4,796
2017,4,808
2017,4,740
2017,4,0
2017,4,702
2017,4,788
2017,4,832
2017,4,833
2017,4,355
2017,5,0
2017,5,734
2017,5,805
2017,5,807
2017,5,671
2017,5,672
2017,5,808
2017,5,823
2017,5,808
2017,5,575
2017,5,647
2017,5,823
2017,5,763
2017,5,817
2017,5,694
2017,5,707
2017,5,806
2017,5,799
2017,5,813
2017,5,689
2017,5,627
2017,5,796
2017,5,781
2017,6,812
2017,6,608
2017,6,616
2017,6,778
2017,6,768
2017,6,787
2017,6,642
2017,6,681
2017,6,779
2017,6,738
2017,6,0
2017,6,315
2017,6,608
2017,6,786
2017,6,788
2017,6,769
2017,6,661
2017,6,635
2017,6,792
2017,6,770
2017,6,738
2017,6,565
2017,7,660
2017,7,742
2017,7,0
2017,7,746
2017,7,591
2017,7,540
2017,7,605
2017,7,629
2017,7,588
2017,7,407
2017,7,424
2017,7,446
2017,7,429
2017,7,378
2017,7,314
2017,7,124
2017,7,125
2017,7,145
2017,7,146
2017,7,103
2017,7,132
2017,8,138
2017,8,151
2017,8,150
2017,8,132
2017,8,143
2017,8,149
2017,8,166
2017,8,176
2017,8,139
2017,8,281
2017,8,378
2017,8,687
2017,8,732
2017,8,544
2017,8,801
2017,8,947
2017,8,895
2017,8,858
2017,8,658
2017,8,777
2017,8,939
2017,8,894
2017,8,870
2017,9,705
2017,9,793
2017,9,935
2017,9,759
2017,9,0
2017,9,232
2017,9,762
2017,9,943
2017,9,823
2017,9,869
2017,9,672
2017,9,728
2017,9,882
2017,9,784
2017,9,842
2017,9,702
2017,9,702
2017,9,891
2017,9,847
2017,9,834
2017,9,707
2017,10,704
2017,10,900
2017,10,817
2017,10,848
2017,10,668
2017,10,746
2017,10,790
2017,10,708
2017,10,0
2017,10,0
2017,10,700
2017,10,854
2017,10,823
2017,10,861
2017,10,698
2017,10,700
2017,10,869
2017,10,809
2017,10,610
2017,10,504
2017,10,749
2017,10,833
2017,11,767
2017,11,0
2017,11,290
2017,11,673
2017,11,808
2017,11,860
2017,11,841
2017,11,590
2017,11,660
2017,11,849
2017,11,0
2017,11,769
2017,11,613
2017,11,663
2017,11,825
2017,11,838
2017,11,802
2017,11,663
2017,11,656
2017,11,800
2017,11,803
2017,11,749
2017,12,637
2017,12,649
2017,12,785
2017,12,786
2017,12,750
2017,12,0
2017,12,563
2017,12,655
2017,12,625
2017,12,613
2017,12,403
2017,12,349
2017,12,379
2017,12,386
2017,12,283
2017,12,0
2017,12,0
2017,12,0
2017,12,0
2017,12,0
2017,12,0
2018,1,0
2018,1,0
2018,1,0
2018,1,0
2018,1,69
2018,1,112
2018,1,122
2018,1,115
2018,1,100
2018,1,117
2018,1,156
2018,1,167
2018,1,135
2018,1,120
2018,1,156
2018,1,151
2018,1,149
2018,1,130
2018,1,114
2018,1,144
2018,1,178
2018,1,179
2018,2,139
2018,2,119
2018,2,153
2018,2,155
2018,2,177
2018,2,175
2018,2,116
2018,2,0
2018,2,0
2018,2,0
2018,2,127
2018,2,131
2018,2,189
2018,2,242
2018,2,301
2018,2,604
2018,2,446
2018,2,743
2018,2,825
2018,2,811
2018,3,796
2018,3,620
2018,3,695
2018,3,858
2018,3,902
2018,3,896
2018,3,751
2018,3,730
2018,3,844
2018,3,847
2018,3,829
2018,3,630
2018,3,0
2018,3,617
2018,3,786
2018,3,834
2018,3,650
2018,3,771
2018,3,823
2018,3,763
2018,3,0
2018,3,0
2018,4,713
2018,4,852
2018,4,830
2018,4,889
2018,4,696
2018,4,772
2018,4,883
2018,4,878
2018,4,851
2018,4,726
2018,4,728
2018,4,851
2018,4,812
2018,4,799
2018,4,596
2018,4,761
2018,4,853
2018,4,794
2018,4,763
2018,4,597
2018,4,297
2018,5,0
2018,5,765
2018,5,811
2018,5,652
2018,5,705
2018,5,827
2018,5,802
2018,5,832
2018,5,611
2018,5,651
2018,5,803
2018,5,774
2018,5,767
2018,5,650
2018,5,698
2018,5,795
2018,5,819
2018,5,710
2018,5,572
2018,5,669
2018,5,776
2018,5,686
2018,5,0
2018,6,242
2018,6,660
2018,6,821
2018,6,828
2018,6,811
2018,6,650
2018,6,715
2018,6,761
2018,6,787
2018,6,751
2018,6,639
2018,6,624
2018,6,774
2018,6,756
2018,6,741
2018,6,0
2018,6,529
2018,6,577
2018,6,374
2018,6,419
2018,6,356
2018,7,0
2018,7,276
2018,7,186
2018,7,0
2018,7,68
2018,7,115
2018,7,123
2018,7,125
2018,7,112
2018,7,94
2018,7,115
2018,7,119
2018,7,115
2018,7,91
2018,7,84
2018,7,94
2018,7,111
2018,7,118
2018,7,116
2018,7,122
2018,7,128
2018,7,160
2018,8,176
2018,8,162
2018,8,142
2018,8,732
2018,8,896
2018,8,877
2018,8,862
2018,8,604
2018,8,790
2018,8,876
2018,8,775
2018,8,799
2018,8,680
2018,8,778
2018,8,903
2018,8,862
2018,8,853
2018,8,640
2018,8,788
2018,8,898
2018,8,848
2018,8,845
2018,8,677
2018,1,0
2018,1,0
2018,1,0
2018,1,0
2018,1,69
2018,1,112
2018,1,122
2018,1,115
2018,1,100
2018,1,117
2018,1,156
2018,1,167
2018,1,135
2018,1,120
2018,1,156
2018,1,151
2018,1,149
2018,1,130
2018,1,114
2018,1,144
2018,1,178
2018,1,179
2018,2,139
2018,2,119
2018,2,153
2018,2,155
2018,2,177
2018,2,175
2018,2,116
2018,2,0
2018,2,0
2018,2,0
2018,2,127
2018,2,131
2018,2,189
2018,2,242
2018,2,301
2018,2,604
2018,2,446
2018,2,743
2018,2,825
2018,2,811
2018,3,796
2018,3,620
2018,3,695
2018,3,858
2018,3,902
2018,3,896
2018,3,751
2018,3,730
2018,3,844
2018,3,847
2018,3,829
2018,3,630
2018,3,0
2018,3,617
2018,3,786
2018,3,834
2018,3,650
2018,3,771
2018,3,823
2018,3,763
2018,3,0
2018,3,0
2018,4,713
2018,4,852
2018,4,830
2018,4,889
2018,4,696
2018,4,772
2018,4,883
2018,4,878
2018,4,851
2018,4,726
2018,4,728
2018,4,851
2018,4,812
2018,4,799
2018,4,596
2018,4,761
2018,4,853
2018,4,794
2018,4,763
2018,4,597
2018,4,297
2018,5,0
2018,5,765
2018,5,811
2018,5,652
2018,5,705
2018,5,827
2018,5,802
2018,5,832
2018,5,611
2018,5,651
2018,5,803
2018,5,774
2018,5,767
2018,5,650
2018,5,698
2018,5,795
2018,5,819
2018,5,710
2018,5,572
2018,5,669
2018,5,776
2018,5,686
2018,5,0
2018,6,242
2018,6,660
2018,6,821
2018,6,828
2018,6,811
2018,6,650
2018,6,715
2018,6,761
2018,6,787
2018,6,751
2018,6,639
2018,6,624
2018,6,774
2018,6,756
2018,6,741
2018,6,0
2018,6,529
2018,6,577
2018,6,374
2018,6,419
2018,6,356
2018,7,0
2018,7,276
2018,7,186
2018,7,0
2018,7,68
2018,7,115
2018,7,123
2018,7,125
2018,7,112
2018,7,94
2018,7,115
2018,7,119
2018,7,115
2018,7,91
2018,7,84
2018,7,94
2018,7,111
2018,7,118
2018,7,116
2018,7,122
