Data,Ano,Mês,Dia da Semana,Dia,Qt_almoco,Qt_jantar
2016-01-04,2016,1,Segunda-feira,4,364,294
2016-01-05,2016,1,Terça-feira,5,489,363
2016-01-06,2016,1,Quarta-feira,6,522,401
2016-01-07,2016,1,Quinta-Feira,7,514,349
2016-01-08,2016,1,Sexta-feira,8,409,218
2016-01-11,2016,1,Segunda-feira,11,462,372
2016-01-12,2016,1,Terça-feira,12,575,435
2016-01-13,2016,1,Quarta-feira,13,525,388
2016-01-14,2016,1,Quinta-Feira,14,545,341
2016-01-15,2016,1,Sexta-feira,15,434,261
2016-01-18,2016,1,Segunda-feira,18,424,371
2016-01-19,2016,1,Terça-feira,19,499,391
2016-01-20,2016,1,Quarta-feira,20,501,398
2016-01-21,2016,1,Quinta-Feira,21,525,382
2016-01-22,2016,1,Sexta-feira,22,452,265
2016-01-25,2016,1,Segunda-feira,25,484,332
2016-01-26,2016,1,Terça-feira,26,514,385
2016-01-27,2016,1,Quarta-feira,27,514,343
2016-01-28,2016,1,Quinta-Feira,28,535,325
2016-01-29,2016,1,Sexta-feira,29,412,219
2016-02-01,2016,2,Segunda-feira,1,404,302
2016-02-02,2016,2,Terça-feira,2,504,328
2016-02-03,2016,2,Quarta-feira,3,427,324
2016-02-04,2016,2,Quinta-Feira,4,462,258
2016-02-05,2016,2,Sexta-feira,5,285,116
2016-02-08,2016,2,Segunda-feira,8,0,0
2016-02-09,2016,2,Terça-feira,9,0,0
2016-02-10,2016,2,Quarta-feira,10,0,0
2016-02-11,2016,2,Quinta-Feira,11,132,97
2016-02-12,2016,2,Sexta-feira,12,153,82
2016-02-15,2016,2,Segunda-feira,15,189,147
2016-02-16,2016,2,Terça-feira,16,266,150
2016-02-17,2016,2,Quarta-feira,17,250,123
2016-02-18,2016,2,Quinta-Feira,18,216,100
2016-02-19,2016,2,Sexta-feira,19,205,74
2016-03-01,2016,3,Terça-feira,1,0,0
2016-03-02,2016,3,Quarta-feira,2,0,0
2016-03-03,2016,3,Quinta-Feira,3,0,0
2016-03-04,2016,3,Sexta-feira,4,0,0
2016-03-07,2016,3,Segunda-feira,7,0,0
2016-03-08,2016,3,Terça-feira,8,0,0
2016-03-09,2016,3,Quarta-feira,9,0,0
2016-03-10,2016,3,Quinta-Feira,10,0,0
2016-03-11,2016,3,Sexta-feira,11,0,0
2016-03-14,2016,3,Segunda-feira,14,585,388
2016-03-15,2016,3,Terça-feira,15,733,464
2016-03-16,2016,3,Quarta-feira,16,716,470
2016-03-17,2016,3,Quinta-Feira,17,727,452
2016-03-18,2016,3,Sexta-feira,18,620,312
2016-03-21,2016,3,Segunda-feira,21,654,498
2016-03-22,2016,3,Terça-feira,22,752,449
2016-03-23,2016,3,Quarta-feira,23,668,337
2016-03-24,2016,3,Quinta-Feira,24,0,0
2016-03-25,2016,3,Sexta-feira,25,0,0
2016-03-28,2016,3,Segunda-feira,28,630,487
2016-03-29,2016,3,Terça-feira,29,803,461
2016-03-30,2016,3,Quarta-feira,30,801,537
2016-03-31,2016,3,Quinta-Feira,31,750,526
2016-04-01,2016,4,Sexta-feira,1,710,351
2016-04-04,2016,4,Segunda-feira,4,647,461
2016-04-05,2016,4,Terça-feira,5,783,501
